Attix	RMI 449		0.953	0.943	0.932	0.925	0.919	0.913	0.908	0.904	0.9	0.896	0.893	0.886	0.881	0.871	0.859	0.849	0.837
Capintec	PS-033				0.921	0.92	0.919	0.918	0.917	0.916	0.915	0.913	0.912	0.908	0.905	0.898	0.887	0.877	0.866
Exradin	P11		0.958	0.948	0.937	0.93	0.923	0.918	0.913	0.908	0.904	0.901	0.897	0.891	0.885	0.875	0.863	0.853	0.841
Holt	Memorial		0.971	0.961	0.95	0.942	0.936	0.931	0.926	0.921	0.917	0.913	0.91	0.903	0.897	0.887	0.875	0.865	0.853
NACP/Calcam			0.952	0.942	0.931	0.924	0.918	0.912	0.908	0.903	0.899	0.895	0.892	0.886	0.88	0.87	0.858	0.848	0.836
PTW	Markus				0.925	0.92	0.916	0.913	0.91	0.907	0.904	0.901	0.899	0.894	0.889	0.881	0.87	0.86	0.849
PTW	Roos		0.965	0.955	0.944	0.937	0.931	0.925	0.92	0.916	0.912	0.908	0.904	0.898	0.892	0.882	0.87	0.86	0.848
Capintec	PR-06C/G	Farmer							0.916	0.914	0.912	0.911	0.909	0.906	0.904	0.899	0.891	0.884	0.874
Exradin	A2	Spokas							0.914	0.913	0.913	0.913	0.912	0.911	0.91	0.908	0.903	0.897	0.888
Exradin	T2	Spokas							0.882	0.881	0.881	0.881	0.88	0.879	0.878	0.876	0.871	0.865	0.857
Exradin	A12	Farmer							0.921	0.919	0.918	0.916	0.914	0.911	0.909	0.903	0.896	0.888	0.878
NE	2571	Guarded Farmer							0.918	0.916	0.915	0.913	0.911	0.909	0.906	0.901	0.893	0.886	0.876
NE	2581	Robust Farmer							0.899	0.898	0.896	0.894	0.893	0.89	0.888	0.882	0.875	0.868	0.859
PTW	30001/30010	Farmer							0.911	0.909	0.907	0.905	0.904	0.901	0.898	0.893	0.885	0.877	0.868
PTW	30002/30011	Farmer							0.916	0.914	0.912	0.91	0.909	0.906	0.903	0.897	0.89	0.882	0.873
PTW	30004/30012	Farmer							0.92	0.918	0.916	0.915	0.913	0.91	0.907	0.902	0.894	0.887	0.877
PTW	30006/30013	Farmer							0.911	0.909	0.907	0.906	0.904	0.901	0.898	0.893	0.885	0.878	0.868
PTW	31002	flexible							0.912	0.91	0.908	0.906	0.905	0.901	0.898	0.893	0.885	0.877	0.867
PTW	31003	flexible							0.912	0.91	0.908	0.906	0.905	0.901	0.898	0.893	0.885	0.877	0.867
PTW	31006	PinPoint							0.928	0.924	0.921	0.918	0.915	0.910	0.905	0.896	0.885	0.876	0.865
PTW	31014	PinPoint							0.929	0.925	0.922	0.919	0.916	0.910	0.905	0.897	0.886	0.876	0.865
Scdx Wellhöfer	CC01								0.942	0.938	0.935	0.932	0.929	0.923	0.918	0.909	0.898	0.889	0.878
Scdx Wellhöfer	CC04/IC04								0.928	0.925	0.922	0.920	0.918	0.913	0.910	0.902	0.893	0.884	0.874
Scdx Wellhöfer	CC08/IC05/IC06								0.920	0.918	0.917	0.915	0.913	0.910	0.907	0.902	0.894	0.886	0.877
Scdx Wellhöfer	CC13/IC10/IC15								0.920	0.918	0.917	0.915	0.913	0.910	0.907	0.902	0.894	0.886	0.877
Scdx Wellhöfer	CC25/IC25								0.920	0.918	0.917	0.915	0.913	0.910	0.907	0.902	0.894	0.886	0.877
Scdx Wellhöfer	FC23-C/IC28	Farmer shortened							0.920	0.918	0.916	0.914	0.913	0.910	0.907	0.902	0.894	0.886	0.877
Scdx Wellhöfer	FC65-P/IC69	Farmer							0.914	0.912	0.911	0.909	0.907	0.904	0.902	0.896	0.889	0.881	0.872
Scdx Wellhöfer	FC65-G/IC70	Farmer							0.920	0.918	0.916	0.914	0.913	0.910	0.907	0.902	0.894	0.887	0.877
Victoreen	30-348								0.91	0.908	0.906	0.903	0.902	0.898	0.895	0.888	0.88	0.872	0.862
Victoreen	30-351								0.906	0.904	0.902	0.901	0.899	0.896	0.893	0.888	0.88	0.873	0.864
Victoreen	30-349								0.899	0.898	0.897	0.896	0.895	0.893	0.891	0.888	0.881	0.875	0.866
