Capintec	PR-05P	mini	1.004	1.003	1.002	1.001	1	0.998	0.996	0.994	0.991	0.987	0.983	0.975	0.968	0.96	0.949
Capintec	PR-05	mini	1.004	1.003	1.002	1.001	1	0.998	0.996	0.994	0.991	0.987	0.983	0.975	0.968	0.96	0.949
Capintec	PR-06C/G	Farmer	1.001	1.001	1	0.998	0.998	0.995	0.992	0.99	0.988	0.984	0.98	0.972	0.965	0.956	0.944
Exradin	A2	Spokas	1.001	1.001	1.001	1	0.999	0.997	0.996	0.994	0.992	0.989	0.986	0.979	0.971	0.962	0.949
Exradin	T2	Spokas	1.002	1.001	0.999	0.996	0.993	0.988	0.984	0.98	0.977	0.973	0.969	0.962	0.954	0.946	0.934
Exradin	A1	mini Shonka	1.002	1.002	1.001	1	1	0.998	0.996	0.994	0.991	0.986	0.982	0.974	0.966	0.957	0.945
Exradin	Tl	mini Shonka	1.003	1.001	0.999	0.996	0.993	0.988	0.984	0.98	0.975	0.97	0.965	0.957	0.949	0.942	0.93
Exradin	A12	Farmer	1.001	1.001	1	1	0.999	0.997	0.994	0.992	0.99	0.986	0.981	0.974	0.966	0.957	0.944
Far West Tech.	1C-18		1.005	1.003	1	0.997	0.993	0.988	0.983	0.979	0.976	0.971	0.966	0.959	0.953	0.945	0.934
FZHTK01			1.002	1.001	1	0.998	0.996	0.993	0.99	0.987	0.984	0.98	0.975	0.968	0.96	0.952	0.939
Nuclear Assoc.	30-750		1.001	1.001	1	0.999	0.998	0.996	0.994	0.991	0.988	0.984	0.979	0.971	0.963	0.954	0.941
Nuclear Assoc.	30-749		1.001	1	1	0.999	0.998	0.996	0.994	0.992	0.989	0.984	0.98	0.972	0.964	0.956	0.942
Nuclear Assoc.	30-744		1.001	1	1	0.999	0.998	0.996	0.994	0.992	0.989	0.984	0.98	0.972	0.964	0.956	0.942
Nuclear Assoc.	30-716		1.001	1	1	0.999	0.998	0.996	0.994	0.992	0.989	0.984	0.98	0.972	0.964	0.956	0.942
Nuclear Assoc.	30-753	Farmer shortened	1.001	1	1	0.999	0.998	0.996	0.994	0.992	0.989	0.985	0.98	0.973	0.965	0.956	0.943
Nuclear Assoc.	30-751	Farmer	1.002	1.002	1	0.999	0.997	0.994	0.991	0.989	0.985	0.981	0.977	0.969	0.961	0.953	0.94
Nuclear Assoc.	30-752	Farmer	1.004	1.003	1.001	1	0.998	0.996	0.993	0.991	0.989	0.985	0.981	0.974	0.967	0.959	0.947
NE	2515		1.001	1.001	1	0.999	0.997	0.994	0.991	0.988	0.984	0.98	0.975	0.967	0.959	0.95	0.937
NE	2515/3		1.005	1.004	1.002	1	0.998	0.995	0.993	0.991	0.989	0.986	0.982	0.975	0.969	0.961	0.949
NE	2577		1.005	1.004	1.002	1	0.998	0.995	0.993	0.991	0.989	0.986	0.982	0.975	0.969	0.961	0.949
